year,month,cmpgn,impressions,clicks,cost,conversions,CPC,CPA
2022,8,Non Branded HubSpot,7896,352,716.72,32.0,2.04,22.4
2022,9,Marketing Inbound Support,449,69,73.74,0.0,1.07,0.0
2022,9,Non Branded HubSpot,11214,562,959.05,55.0,1.71,17.44
2022,10,Marketing Inbound,13767,949,879.52,27.85,0.93,31.58
2022,10,Marketing Inbound Allies,400,20,60.76,4.0,3.04,15.19
2022,10,Non Branded HubSpot,5391,385,574.71,39.0,1.49,14.74
2022,11,Marketing Inbound,21712,576,1434.65,76.0,2.49,18.88
2022,11,Marketing Inbound Allies,3772,161,594.4,3.0,3.69,198.13
2022,11,Marketing Inbound Partnerships,44644,924,431.65,34.0,0.47,12.7
2022,11,Non Branded HubSpot,1669,186,245.27,20.0,1.32,12.26
2022,12,Marketing Inbound,9175,233,608.1,21.0,2.61,28.96
2022,12,Marketing Inbound Partnerships,11147,139,530.05,12.0,3.81,44.17
2022,12,Non Branded HubSpot,2355,282,479.02,19.0,1.7,25.21
2023,1,Acquisition,1,0,0.0,0.0,0.0,0.0
2023,1,Applied Marketing,1,0,0.0,0.0,0.0,0.0
2023,1,Marketing Inbound Partnerships,3689,49,148.25,7.0,3.03,21.18
2023,1,Non Branded HubSpot,73,8,15.68,0.0,1.96,0.0
2023,1,Reporting Tools,1,0,0.0,0.0,0.0,0.0
